Edge		Weight
0 - 1		7
1 - 0		7
1 - 2		14
2 - 0		7
2 - 1		14
2 - 3		14
3 - 0		7
3 - 1		14
3 - 2		14
3 - 4		14
4 - 0		7
4 - 1		14
4 - 2		14
4 - 3		14
4 - 5		14
5 - 0		7
5 - 1		14
5 - 2		14
5 - 3		14
5 - 4		14
5 - 6		14
6 - 0		7
6 - 1		4
6 - 2		10
6 - 3		14
6 - 4		14
6 - 5		14
6 - 7		2
7 - 0		7
7 - 1		6
7 - 2		8
7 - 3		14
7 - 4		14
7 - 5		14
7 - 6		2
7 - 8		4
8 - 0		7
8 - 1		10
8 - 2		4
8 - 3		14
8 - 4		14
8 - 5		14
8 - 6		6
8 - 7		4
8 - 9		8
9 - 0		7
9 - 1		14
9 - 2		4
9 - 3		10
9 - 4		14
9 - 5		14
9 - 6		14
9 - 7		12
9 - 8		8
9 - 10		2
10 - 0		7
10 - 1		14
10 - 2		6
10 - 3		8
10 - 4		14
10 - 5		14
10 - 6		14
10 - 7		14
10 - 8		10
10 - 9		2
10 - 11		4
11 - 0		7
11 - 1		14
11 - 2		10
11 - 3		4
11 - 4		14
11 - 5		14
11 - 6		14
11 - 7		14
11 - 8		14
11 - 9		6
11 - 10		4
11 - 12		8
12 - 0		7
12 - 1		14
12 - 2		14
12 - 3		4
12 - 4		10
12 - 5		14
12 - 6		14
12 - 7		14
12 - 8		14
12 - 9		14
12 - 10		12
12 - 11		8
12 - 13		6
13 - 0		7
13 - 1		14
13 - 2		14
13 - 3		10
13 - 4		4
13 - 5		14
13 - 6		14
13 - 7		14
13 - 8		14
13 - 9		14
13 - 10		14
13 - 11		14
13 - 12		6
13 - 14		8
14 - 0		7
14 - 1		14
14 - 2		14
14 - 3		14
14 - 4		4
14 - 5		10
14 - 6		14
14 - 7		14
14 - 8		14
14 - 9		14
14 - 10		14
14 - 11		14
14 - 12		14
14 - 13		8
14 - 15		4
15 - 0		7
15 - 1		14
15 - 2		14
15 - 3		14
15 - 4		8
15 - 5		6
15 - 6		14
15 - 7		14
15 - 8		14
15 - 9		14
15 - 10		14
15 - 11		14
15 - 12		14
15 - 13		12
15 - 14		4
15 - 16		2
16 - 0		7
16 - 1		14
16 - 2		14
16 - 3		14
16 - 4		10
16 - 5		4
16 - 6		14
16 - 7		14
16 - 8		14
16 - 9		14
16 - 10		14
16 - 11		14
16 - 12		14
16 - 13		14
16 - 14		6
16 - 15		2
16 - 17		14
17 - 0		7
17 - 1		2
17 - 2		12
17 - 3		14
17 - 4		14
17 - 5		14
17 - 6		2
17 - 7		4
17 - 8		8
17 - 9		14
17 - 10		14
17 - 11		14
17 - 12		14
17 - 13		14
17 - 14		14
17 - 15		14
17 - 16		14
17 - 18		6
18 - 0		7
